"player.givenName","player.surname","opponent","confidence_flag","line_10","line_11","line_12","line_13","line_14","line_15","line_16","line_17","line_18","line_19","line_20","line_21","line_22","line_23","line_24","line_25","line_26","line_27","line_28","line_29","line_30","predicted_disposals"
"Tristan","Xerri","Kuwarna","ok",1.00122600019856,1.00328264468037,1.00806604882894,1.01825862013144,1.03829036017693,1.07496406851874,1.13833704771608,1.24333847252097,1.4130347661243,1.6851980313175,2.12547909806411,2.85442519184002,4.10516911919329,6.35271525147405,10.619178270249,19.2350944390927,37.8510026576931,81.084462855782,189.410811360983,483.142101486569,1347.21810608227,19.3
"Luke","Davies-Uniacke","Kuwarna","ok",1.0001573984651,1.00037301445189,1.00084108855208,1.00180550513051,1.00369271862712,1.00720402117059,1.0134265327615,1.02395654413544,1.04103282947155,1.06769182637917,1.10798130419797,1.16730150336042,1.25298221782094,1.37525987561987,1.54891450274182,1.79600782106587,2.15051178977786,2.66628636949327,3.4311694859504,4.59253902074662,6.40501423191157,25.1
"Harry","Sheezel","Kuwarna","ok",1.00000933665473,1.00002480281281,1.00006284401621,1.0001519081231,1.00035041059435,1.0007716399962,1.00162297453797,1.00326264047543,1.00627487992245,1.01156097821462,1.02044115630263,1.03476412646479,1.05703010571866,1.09055000667507,1.13968660166214,1.21025120700449,1.31016543032038,1.4505545472537,1.64754239690863,1.92521134708181,2.3205543076515,28.7
"George","Wardlaw","Kuwarna","ok",1.01823985949252,1.03168194446387,1.05295237524579,1.08546370330635,1.13374378250264,1.20385580603736,1.30410826119603,1.44624441726627,1.64742049261565,1.93350903856235,2.34469778445894,2.94518653660098,3.84040971109201,5.20846077385091,7.35906405882857,10.8475148888376,16.7015762534937,26.8876886068983,45.3004913191524,79.934742196325,147.820570846413,18.7
"Luke","McDonald","Kuwarna","ok",1.04344758441881,1.07233412583454,1.11630291279361,1.18148165516411,1.27629440171378,1.41269196990009,1.60824008362992,1.88966734193734,2.29897730751566,2.90421470969644,3.81894275384538,5.23851218291369,7.50966981025597,11.2684100482258,17.722009999591,29.2458962969509,50.6918667870872,92.3615052800595,177.022775670817,357.120841259611,758.708660376649,16.8
"Jack","Darling","Kuwarna","ok",1.26259296907483,1.37291396349501,1.52370292535125,1.73003819578323,2.01398583136007,2.40860041714114,2.96452327885816,3.76109329094738,4.92547149591748,6.6663166083758,9.33449104675106,13.5351801185946,20.340219316114,31.700726671287,51.2706815742248,86.0965038354156,150.182561275732,272.236872537171,513.005630294199,1005.26552494156,2049.00330079254,13.5
"Tom","Blamires","Kuwarna","ok",1.05040622692901,1.08195364850878,1.12907502979275,1.19783582036728,1.29655190049303,1.43698469377489,1.63633796292142,1.92060538756564,2.33026502698238,2.93017904887913,3.82724885701444,5.20277540156543,7.37349249628725,10.9101423169682,16.875035275402,27.3134066280287,46.3038485896576,82.2820295411758,153.365804426927,300.010482015332,616.23086280894,16.7
"Jacob","Konstanty","Kuwarna","ok",1.74501295949654,2.12685559516305,2.70813817822878,3.61465809934933,5.07207131870489,7.50050822422951,11.7133150407643,19.351059763074,33.8684804038469,62.8754920835328,123.93853824289,259.624489384712,578.384782389034,1371.16624234276,3460.9572018173,9305.36340923375,26660.747524554,81425.6517251553,265172.804669923,921060.629443656,3413012.62200354,10.2
"Riley","Hardeman","Kuwarna","ok",1.16803496815252,1.26400905092038,1.40560393526884,1.61355795434311,1.92028699301564,2.378355711185,3.0759987459947,4.16644337536128,5.9251733392303,8.86571033034622,13.9823299018012,23.2783858475439,40.9622521776049,76.2669483485363,150.38432777802,314.278685451084,696.55661884655,1638.20774315816,4090.34807743098,10846.994049845,30561.2786935295,13.7
"Matt","Whitlock","Kuwarna","ok",1.33779781816397,1.53407644594268,1.83351513305941,2.2959112337733,3.02573066913227,4.21305821685756,6.2184023646348,9.75576206679183,16.3053358467828,29.0871058605201,55.4689249776425,113.224165604884,247.649108752471,580.944322336975,1462.72251619608,3955.46678493183,11494.2003943581,35909.3404385949,120658.416315993,436193.806867514,1697084.08313454,11.9
