"player.givenName","player.surname","opponent","predicted_disposals","line","model_odds","pb_odds","ev_pb"
"Marcus","Windhager","Richmond",22.6,23,1.97347342668783,2.05,0.0387776051490129
"Lachie","Whitfield","Waalitj Marawar",30.2,26,1.10801132689017,1.15,0.0378955269597073
"Jack","Darling","Kuwarna",13.5,17,3.76109329094738,3.9,0.0369325348528201
"Tom","Papley","Collingwood",18.1,17,1.53339319105597,1.59,0.0369160429785469
"Marcus","Windhager","Richmond",22.6,18,1.16694929561055,1.21,0.0368916666314301
"Koltyn","Tholstrup","Hawthorn",18.8,15,1.24429760660189,1.29,0.0367294714348264
"Isaac","Heeney","Collingwood",27.4,22,1.14785796106883,1.19,0.0367136356243333
"Rowan","Marshall","Richmond",17.8,15,1.26400120767968,1.31,0.036391414850593
"Bradley","Hill","Richmond",24.3,24,1.76586077723376,1.83,0.0363217891201559
"Isaac","Heeney","Collingwood",27.4,27,1.7666984130345,1.83,0.035830443101362
"Christian","Petracca","Yartapuulti",25.7,20,1.12051158785834,1.16,0.0352414134485982
"James","Peatling","North Melbourne",21.5,18,1.26598788553857,1.31,0.0347650360356392
"Lachie","Ash","Waalitj Marawar",28.2,23,1.10182442372743,1.14,0.0346476039652747
"Lachie","Ash","Waalitj Marawar",28.2,22,1.06357045686665,1.1,0.0342521202033711
"Harry","Sharp","Hawthorn",14.4,16,2.46555003760945,2.55,0.0342519766795857
"Nick","Daicos","Sydney Swans",29.2,23,1.07326419930654,1.11,0.0342281059194906
"Jack","Crisp","Sydney Swans",23.6,17,1.05460272079309,1.09,0.0335645627580901
"Dan","Houston","Sydney Swans",23.6,20,1.20941236755027,1.25,0.0335597960949749
"Toby","Greene","Waalitj Marawar",23.2,14,1.00644454654808,1.04,0.0333405884775338
"Riley","Thilthorpe","North Melbourne",12.3,11,1.20007760943944,1.24,0.033266507304647
"Nick","Daicos","Sydney Swans",29.2,22,1.04546582714374,1.08,0.033032330622042
"Tom","Sparrow","Hawthorn",20.8,14,1.0360916323727,1.07,0.0327271899201093
"Tom","Papley","Collingwood",18.1,16,1.35628374710105,1.4,0.0322323798337827
"Lachie","Whitfield","Waalitj Marawar",30.2,23,1.01729232463328,1.05,0.0321516977713447
"Jordan","Dawson","North Melbourne",25.5,17,1.0367215292489,1.07,0.0320997199462092
"Shai","Bolton","Essendon",25.7,27,2.32614536569992,2.4,0.0317497931939695
"Jarman","Impey","Narrm",24,23,1.60008844997134,1.65,0.0311929943807485
"Caleb","Daniel","Kuwarna",24.4,25,2.03673856048125,2.1,0.0310601668501812
"Matthew","Jefferson","Hawthorn",9.3,16,10.6701267047639,11,0.0309155930724604
"Harry","Morrison","Narrm",18,17,1.58129354046251,1.63,0.0308016559172489
"Jarman","Impey","Narrm",24,20,1.20306763942667,1.24,0.0306984905611194
